oid,zip_code,home_broadband_adoption,mobile_broadband_adoption,no_internet_access_percentage,no_home_broadband_adoption,no_mobile_broadband_adoption,no_home_broadband_adoption_1,no_mobile_broadband_adoption_1,commercial_fiber_max_isp,public_computer_center_count,workstations_in_pccs,avg_training_hrs_per_week,public_wi_fi_count,poles_reserved_by_mobile,pole_with_equipment_installed,density_of_poles_reserved
176,11224,0.6224,0.6028,0.2654,0.3776,0.3972,High Connected,High Connected,4,5,66,16.4,32,18,9,0.50
177,11225,0.6831,0.7201,0.2037,0.3169,0.2799,High Connected,High Connected,5,1,35,4.5,20,13,17,1.31
178,11226,0.6622,0.7194,0.2243,0.3378,0.2806,High Connected,High Connected,4,4,86,11.5,28,27,31,1.15
179,11228,0.766,0.776,0.1387,0.234,0.224,Medium Low Connected,Medium High Connected,4,1,15,4.7,7,4,6,1.50
180,11229,0.7519,0.697,0.1515,0.2481,0.303,Medium High Connected,High Connected,4,5,140,33.9,5,12,28,2.33
181,11230,0.6568,0.6879,0.2027,0.3432,0.3121,High Connected,High Connected,4,4,51,9.9,1,4,22,5.50
182,11231,0.7979,0.8026,0.1257,0.2021,0.1974,Medium Low Connected,Medium Low Connected,3,4,52,10.1,27,9,19,2.11
183,11232,0.6857,0.7594,0.171,0.3143,0.2406,Medium High Connected,Medium High Connected,5,1,18,17.1,15,3,18,6.00
184,11233,0.6267,0.8,0.248,0.3733,0.2,High Connected,Medium Low Connected,4,5,114,30.9,20,14,34,2.43
185,11234,0.7663,0.7647,0.1375,0.2337,0.2353,Medium Low Connected,Medium High Connected,5,4,66,13.8,7,12,16,1.33
186,11235,0.7105,0.6513,0.197,0.2895,0.3487,Medium High Connected,High Connected,4,4,76,25.8,17,14,22,1.57
187,11236,0.7523,0.7778,0.1608,0.2477,0.2222,Medium High Connected,Medium High Connected,4,4,58,25.9,3,23,32,1.39
188,11237,0.6184,0.8142,0.1877,0.3816,0.1858,High Connected,Medium Low Connected,4,2,50,16.9,7,9,19,2.11
189,11238,0.7754,0.8214,0.1298,0.2246,0.1786,Medium Low Connected,Medium Low Connected,5,5,304,80.8,31,5,28,5.60
190,11239,0.6393,0.679,0.2542,0.3607,0.321,High Connected,High Connected,3,1,12,2,0,6,1,0.17
191,11249,0.6405,0.7229,0.2635,0.3595,0.2771,High Connected,High Connected,4,0,0,0,17,2,13,6.50
192,11251,0.6339,0.7146,0.2564,0.3661,0.2854,High Connected,High Connected,5,0,0,0,0,0,2,0
193,11354,0.5805,0.6552,0.247,0.4195,0.3448,High Connected,High Connected,6,3,36,5.7,7,29,39,1.34
194,11355,0.5597,0.6597,0.2433,0.4403,0.3403,High Connected,High Connected,4,6,214,57.7,10,18,43,2.39
195,11356,0.6678,0.6698,0.2019,0.3322,0.3302,High Connected,High Connected,2,1,11,0.8,1,4,11,2.75
196,11357,0.7671,0.7384,0.1385,0.2329,0.2616,Medium Low Connected,High Connected,4,1,18,1.3,1,18,34,1.89
197,11358,0.7405,0.7499,0.1397,0.2595,0.2501,Medium High Connected,Medium High Connected,3,3,40,3.9,6,16,28,1.75
198,11359,0.8182,0.8061,0.0946,0.1818,0.1939,Medium Low Connected,Medium Low Connected,2,0,0,0,0,1,0,0.00
199,11360,0.8028,0.7618,0.1097,0.1972,0.2382,Medium Low Connected,Medium High Connected,4,2,16,4.8,1,4,20,5.00
200,11361,0.7961,0.7778,0.1038,0.2039,0.2222,Medium Low Connected,Medium High Connected,4,1,19,0.5,1,15,25,1.67
201,11362,0.7877,0.7417,0.1433,0.2123,0.2583,Medium Low Connected,High Connected,3,2,7,3.8,2,2,9,4.50
202,11363,0.807,0.7603,0.1275,0.193,0.2397,Medium Low Connected,Medium High Connected,3,1,14,0.8,0,4,0,0.00
203,11364,0.8179,0.7965,0.0886,0.1821,0.2035,Medium Low Connected,Medium Low Connected,4,2,21,5.5,1,18,19,1.06
204,11365,0.8007,0.7783,0.1227,0.1993,0.2217,Medium Low Connected,Medium High Connected,3,2,49,2.7,9,28,18,0.64
205,11366,0.8278,0.8223,0.0888,0.1722,0.1777,Medium Low Connected,Medium Low Connected,3,1,10,4.8,4,1,1,1.00
206,11367,0.7396,0.7519,0.1534,0.2604,0.2481,Medium High Connected,Medium High Connected,3,4,58,11,1,14,26,1.86
207,11368,0.6503,0.7564,0.196,0.3497,0.2436,High Connected,Medium High Connected,4,7,130,19.2,5,38,22,0.58
